uid,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
4122,2014,7,MQ,Envoy Air,COU,"Columbia, MO: Columbia Regional",124,19,8.15,0,7.27,2,0,67,55,0,305
4123,2014,7,MQ,Envoy Air,LSE,"La Crosse, WI: La Crosse Regional",146,16,5.21,0,6.23,3,0,0,220,0,254
4124,2014,7,MQ,Envoy Air,LRD,"Laredo, TX: Laredo International",116,16,6.93,0,4.88,5,0,86,83,0,143
4125,2014,7,MQ,Envoy Air,MLI,"Moline, IL: Quad City International",143,38,15.27,0,15.3,3,0,0,323,0,632
4126,2014,7,MQ,Envoy Air,LEX,"Lexington, KY: Blue Grass",118,31,10.04,0.76,7.3,4,0,73,278,16,275
4127,2014,7,MQ,Envoy Air,MEM,"Memphis, TN: Memphis International",145,25,9.78,0,9.19,5,0,21,177,0,249
4128,2014,7,MQ,Envoy Air,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",205,75,31.06,0.18,30.91,3,0,229,354,9,1751
4129,2014,7,MQ,Envoy Air,FSM,"Fort Smith, AR: Fort Smith Regional",120,20,8.81,0,5.12,2,0,88,137,0,238
4130,2014,7,MQ,Envoy Air,XNA,"Fayetteville, AR: Northwest Arkansas Regional",460,133,49.75,0,45.13,12,0,239,1296,0,2815
4131,2014,7,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",120,20,7.39,0,6.96,6,0,271,158,0,251
4132,2014,7,MQ,Envoy Air,IND,"Indianapolis, IN: Indianapolis International",241,29,7.96,0.52,9.27,6,0,97,310,12,497
4133,2014,7,MQ,Envoy Air,MGM,"Montgomery, AL: Montgomery Regional",92,24,9.52,0,6.35,2,0,12,314,0,480
4134,2014,7,MQ,Envoy Air,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",239,38,17.44,0,8.8,10,1,68,353,0,503
