,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
468,2014,4,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",124.0,26.0,5.46,0.0,6.71,0.0,1.0,0.0,1066.0,0.0,546.0
479,2014,4,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",111.0,17.0,2.93,0.0,5.46,0.0,0.0,0.0,468.0,0.0,497.0
481,2014,4,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",63.0,14.0,2.03,0.0,5.23,0.0,0.0,5.0,278.0,0.0,263.0
495,2014,4,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",17.0,3.0,0.39,0.0,1.33,0.0,0.0,0.0,61.0,0.0,246.0
502,2014,4,FL,AirTran Airways Corporation,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3047.0,482.0,72.78,0.0,185.18,21.0,0.0,319.0,6793.0,0.0,10396.0
504,2014,4,FL,AirTran Airways Corporation,LAS,"Las Vegas, NV: McCarran International",116.0,20.0,6.79,0.0,1.69,0.0,0.0,0.0,317.0,0.0,127.0
505,2014,4,FL,AirTran Airways Corporation,MCO,"Orlando, FL: Orlando International",455.0,89.0,27.17,0.0,29.22,2.0,4.0,35.0,701.0,0.0,1816.0
520,2014,4,FL,AirTran Airways Corporation,DEN,"Denver, CO: Denver International",57.0,19.0,8.26,0.0,8.0,0.0,0.0,0.0,53.0,0.0,317.0
522,2014,4,FL,AirTran Airways Corporation,LAX,"Los Angeles, CA: Los Angeles International",30.0,6.0,2.67,0.0,1.97,0.0,0.0,0.0,42.0,0.0,102.0
526,2014,4,FL,AirTran Airways Corporation,SFO,"San Francisco, CA: San Francisco International",30.0,10.0,2.77,0.0,2.53,0.0,0.0,0.0,220.0,0.0,133.0
541,2014,4,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",90.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
